x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi
136,3,7,5,30.85,994.36,41.39,158.73,-88
137,3,7,5,30.83,994.31,41.39,159.06,-88
138,3,7,5,30.81,994.33,41.42,158.9,-87
139,3,7,5,30.8,994.31,41.42,158.73,-87
140,3,7,5,30.8,994.29,41.43,158.9,-87
141,3,7,5,30.8,994.29,41.48,158.56,-86
142,3,7,5,30.82,994.29,41.51,159.06,-87
143,3,7,5,30.85,994.35,41.59,158.73,-86
144,3,7,5,30.87,994.31,41.63,159.23,-85
145,3,7,5,30.89,994.31,41.69,159.23,-84
146,3,7,5,30.89,994.27,41.74,159.4,-84
147,3,7,5,30.92,994.23,41.77,159.4,-85
148,3,7,5,30.97,994.19,41.88,159.91,-86
149,3,7,5,31.04,994.19,41.94,159.74,-84
150,3,7,5,31.07,994.13,41.83,160.08,-84
151,3,7,5,31.08,994.21,41.63,159.74,-86
152,3,7,5,31.07,994.25,41.56,159.57,-87
153,3,7,5,31.01,994.21,41.33,160.08,-85
154,3,7,5,30.99,994.15,41.1,160.25,-86
155,3,7,5,31.02,994.11,41.01,160.42,-84
156,3,7,5,31.04,994.15,41.06,160.08,-85
157,3,7,5,30.98,994.25,41.08,159.4,-84
158,3,7,5,30.97,994.23,41.19,159.23,-84
159,3,7,5,31.1,994.29,41.39,159.4,-85
160,3,7,5,31.27,994.27,41.54,159.06,-87
161,3,7,5,31.39,994.29,41.49,158.9,-88
162,3,7,5,31.46,994.23,41.27,159.57,-84
163,3,7,5,31.52,994.27,41.13,159.23,-86
164,3,7,5,31.56,994.31,40.96,159.23,-84
165,3,7,5,31.6,994.25,40.88,159.23,-86
166,3,7,5,31.64,994.27,40.81,158.9,-88
167,3,7,5,31.71,994.33,40.7,158.56,-86
168,3,7,5,31.78,994.33,40.54,158.73,-86
169,3,7,5,31.87,994.35,40.42,158.47,-85
170,3,7,5,31.95,994.33,40.31,158.47,-83
171,3,7,5,32.04,994.36,40.21,158.73,-86
172,3,7,5,32.1,994.35,40.01,158.47,-84
173,3,7,5,32.13,994.31,39.79,158.9,-87
174,3,7,5,32.15,994.31,39.63,158.73,-85
175,3,7,5,32.13,994.31,39.49,158.73,-86
176,3,7,5,32.13,994.27,39.58,159.23,-85
177,3,7,5,32.09,994.25,39.64,159.74,-86
178,3,7,5,31.99,994.17,39.44,160.08,-83
179,3,7,5,31.86,994.19,39.38,159.74,-84
180,3,7,5,31.74,994.25,39.53,159.4,-83
181,3,7,5,31.64,994.29,39.65,159.06,-84
182,3,7,5,31.49,994.29,39.6,158.9,-85
183,3,7,5,31.37,994.33,39.62,159.06,-85
184,3,7,5,31.29,994.31,39.69,158.73,-85
185,3,7,5,31.24,994.31,39.76,158.9,-85
