x_value,sender_rssi
1,-92
2,-90
3,-92
4,-95
5,-93
6,-96
7,-95
8,-95
9,-94
10,-108
11,-86
12,-97
13,-102
14,-86
15,-87
16,-87
17,-89
18,-86
19,-86
20,-87
21,-89
22,-87
23,-86
24,-87
25,-86
26,-88
27,-86
28,-86
29,-86
30,-85
31,-86
32,-86
33,-86
34,-86
35,-86
36,-86
37,-87
38,-85
39,-86
40,-84
41,-86
42,-86
43,-87
44,-87
45,-87
46,-88
47,-87
48,-87
49,-89
50,-87
51,-84
52,-86
53,-86
54,-86
55,-90
56,-90
57,-86
58,-85
59,-87
60,-87
61,-86
62,-86
63,-86
64,-87
65,-87
66,-86
67,-87
68,-85
69,-86
70,-87
71,-87
72,-87
73,-85
74,-86
75,-87
76,-87
77,-86
78,-86
79,-86
80,-87
81,-90
82,-86
83,-86
84,-87
85,-86
86,-85
87,-86
88,-85
89,-89
90,-86
91,-86
92,-85
93,-87
94,-87
95,-90
96,-90
97,-84
98,-85
99,-86
100,-84
101,-88
102,-87
103,-86
104,-86
105,-86
106,-83
107,-85
108,-85
109,-85
110,-86
111,-86
112,-87
113,-85
114,-85
115,-85
116,-86
117,-87
118,-87
119,-86
120,-85
121,-86
