x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi,sender_snr
164,3,7,8,35.73,993.38,22.2,166.93,-120,-9.5
167,3,7,8,35.54,993.36,22.24,167.1,-120,-9.25
168,3,7,8,35.49,993.34,22.28,167.1,-120,-9.25
217,3,7,8,34.33,993.33,23.9,167.18,-120,-5.25
