x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi
43,8,7,5,32.21,993.46,38.23,166.08,-81
44,8,7,5,32.07,993.48,38.61,165.91,-82
45,8,7,5,31.93,993.5,38.92,165.41,-81
46,8,7,5,31.77,993.5,39.24,165.91,-81
47,8,7,5,31.62,993.5,39.58,165.58,-81
48,8,7,5,31.43,993.48,39.88,165.91,-80
49,8,7,5,31.22,993.48,40.21,165.91,-82
50,8,7,5,31.06,993.5,40.62,165.75,-80
51,8,7,5,30.9,993.52,40.96,165.58,-81
52,8,7,5,30.72,993.54,41.3,165.41,-81
53,8,7,5,30.52,993.52,41.66,165.58,-81
54,8,7,5,30.33,993.52,42.03,165.58,-81
55,8,7,5,30.18,993.52,42.41,165.75,-81
56,8,7,5,30.07,993.52,42.79,165.24,-80
57,8,7,5,29.97,993.5,43.05,165.58,-81
58,8,7,5,29.89,993.52,43.33,165.58,-81
59,8,7,5,29.83,993.54,43.57,165.24,-81
60,8,7,5,29.8,993.52,43.74,165.58,-81
61,8,7,5,29.79,993.5,43.9,165.58,-80
62,8,7,5,29.84,993.52,44.06,165.58,-80
63,8,7,5,29.92,993.52,44.12,165.41,-80
64,8,7,5,29.99,993.5,44.13,165.91,-81
65,8,7,5,30.08,993.46,44.13,165.75,-81
66,8,7,5,30.09,993.5,44.02,165.41,-81
67,8,7,5,30.01,993.54,43.97,165.41,-81
68,8,7,5,29.9,993.56,44.02,165.24,-81
69,8,7,5,29.79,993.54,44.13,165.07,-80
70,8,7,5,29.69,993.58,44.29,165.07,-80
71,8,7,5,29.62,993.56,44.42,165.24,-81
72,8,7,5,29.56,993.56,44.57,165.07,-81
73,8,7,5,29.51,993.56,44.71,165.24,-80
74,8,7,5,29.44,993.54,44.83,165.24,-82
75,8,7,5,29.36,993.54,44.98,165.41,-81
76,8,7,5,29.3,993.54,45.17,165.24,-81
77,8,7,5,29.29,993.52,45.31,165.41,-80
78,8,7,5,29.32,993.56,45.45,165.41,-81
79,8,7,5,29.37,993.58,45.55,164.9,-79
80,8,7,5,29.46,993.52,45.56,165.24,-81
81,8,7,5,29.53,993.54,45.53,165.41,-81
82,8,7,5,29.56,993.54,45.48,165.41,-80
83,8,7,5,29.52,993.52,45.39,165.75,-81
84,8,7,5,29.45,993.52,45.37,165.24,-81
85,8,7,5,29.36,993.56,45.42,165.07,-80
86,8,7,5,29.29,993.56,45.53,165.07,-81
87,8,7,5,29.29,993.54,45.67,165.07,-80
88,8,7,5,29.38,993.56,45.78,165.24,-81
89,8,7,5,29.39,993.54,45.73,165.07,-81
90,8,7,5,29.44,993.54,45.74,165.24,-81
91,8,7,5,29.59,993.54,45.72,165.24,-81
92,8,7,5,29.77,993.56,45.61,165.41,-80
