x_value,sender_rssi
1,-86
2,-97
3,-85
4,-88
5,-84
6,-85
7,-85
8,-84
9,-85
10,-84
11,-84
12,-84
13,-84
14,-83
15,-83
16,-84
17,-83
18,-83
19,-83
20,-84
21,-84
22,-83
23,-85
24,-82
25,-85
26,-84
27,-85
28,-83
29,-84
30,-84
31,-84
32,-84
33,-83
34,-85
35,-84
36,-82
37,-83
38,-84
39,-83
40,-85
41,-82
42,-84
43,-84
44,-83
45,-81
46,-83
47,-83
48,-84
49,-85
50,-83
51,-85
52,-85
53,-85
54,-84
55,-84
56,-84
57,-85
58,-85
59,-84
60,-84
61,-85
62,-83
63,-81
64,-84
65,-84
66,-83
67,-84
68,-81
69,-83
70,-83
71,-84
72,-83
73,-83
74,-84
75,-83
76,-83
77,-82
78,-83
79,-84
80,-83
81,-82
82,-82
83,-82
84,-82
85,-84
86,-82
87,-81
88,-82
89,-83
90,-84
91,-84
92,-84
93,-83
94,-84
95,-81
96,-82
97,-83
98,-83
99,-84
100,-83
101,-83
102,-82
103,-82
104,-82
105,-82
106,-82
107,-82
108,-78
109,-80
110,-79
111,-81
112,-82
113,-82
114,-82
115,-82
116,-82
117,-82
118,-82
119,-82
120,-82
121,-79
122,-80
123,-81
124,-80
125,-82
126,-83
127,-82
128,-81
129,-81
130,-83
