x_value,sender_rssi
1,-91
2,-100
3,-91
4,-95
5,-90
6,-87
7,-88
8,-91
9,-92
10,-88
11,-87
12,-85
13,-89
14,-88
15,-85
16,-87
17,-88
18,-88
19,-88
20,-85
21,-88
22,-86
23,-89
24,-88
25,-91
26,-90
27,-89
28,-90
29,-92
30,-88
31,-88
32,-87
33,-88
34,-87
35,-88
36,-88
37,-89
38,-87
39,-89
40,-86
41,-88
42,-87
43,-88
44,-88
45,-88
46,-87
47,-88
48,-89
49,-88
50,-91
51,-89
52,-89
53,-86
54,-90
55,-86
56,-90
57,-85
58,-91
59,-89
60,-90
61,-88
62,-89
63,-88
64,-90
65,-90
66,-89
67,-88
68,-88
69,-88
70,-88
71,-88
72,-87
73,-87
74,-88
75,-89
76,-89
77,-89
78,-87
79,-87
80,-88
81,-87
82,-86
83,-88
84,-87
85,-89
86,-87
87,-89
88,-87
89,-87
90,-89
91,-89
92,-90
93,-89
94,-90
95,-89
96,-89
97,-88
98,-89
99,-90
100,-89
101,-89
102,-89
103,-89
104,-89
105,-87
106,-89
107,-89
108,-88
109,-88
110,-87
111,-88
112,-89
113,-89
114,-88
115,-87
116,-88
117,-87
118,-86
119,-88
120,-88
121,-89
122,-87
