x_value,sender_rssi
1,-81
2,-93
3,-79
4,-79
5,-79
6,-84
7,-79
8,-82
9,-85
10,-82
11,-82
12,-82
13,-79
14,-81
15,-80
16,-80
17,-79
18,-80
19,-82
20,-76
21,-77
22,-78
23,-76
24,-80
25,-81
26,-80
27,-77
28,-77
29,-79
30,-80
31,-78
32,-79
33,-79
34,-81
35,-78
36,-77
37,-79
38,-79
39,-79
40,-80
41,-80
42,-78
43,-78
44,-77
45,-77
46,-76
47,-77
48,-77
49,-78
50,-79
51,-78
52,-78
53,-78
54,-79
55,-78
56,-77
57,-78
58,-81
59,-80
60,-78
60,-88
62,-80
63,-78
64,-78
65,-74
66,-75
67,-75
68,-75
69,-74
70,-75
71,-74
72,-74
73,-76
74,-75
75,-77
76,-75
77,-75
78,-77
79,-75
80,-76
81,-77
82,-77
83,-74
84,-76
85,-77
85,-87
87,-75
88,-75
89,-73
90,-73
91,-73
92,-72
92,-89
94,-72
95,-73
96,-73
97,-73
98,-73
99,-73
100,-72
101,-73
102,-72
103,-72
104,-72
105,-72
106,-72
107,-72
108,-72
109,-72
110,-72
111,-72
112,-72
113,-72
114,-72
114,-85
